sample	sequence_id	v_call	j_call	v_aa_identity	j_aa_identity	bad_v	bad_j	bad_v_identity	bad_j_identity	bad_v_evalue	bad_j_evalue
ERR346596	ERR346596.11874	J558.2.88	JH2	16.667	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11880	J558.40	JH2	15.464	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11810	J558.39	JH3	30.208	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11940	VHQ52.a27.79,VOx-1	JH1	58.763	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11867	J558.64.162,J558.74.176	JH3	50.526	100.000	True	False	True	False	False	False
ERR346596	ERR346596.11960	J558.h	JH4	84.536	92.857	True	False	True	False	False	False
ERR346596	ERR346596.12035	VH7183.a7.10	JH4	52.041	100.000	True	False	True	False	False	False
ERR346596	ERR346596.12191	J558.26.116,J558.5,J558.8	JH4	13.542	100.000	True	False	True	False	False	False
ERR346596	ERR346596.12237	J558.37,J558.38,J558.39		80.000		True	False	True	False	False	False
ERR346596	ERR346596.12222	J558.20	JH3	19.388	100.000	True	False	True	False	False	False
ERR346596	ERR346596.12299	J558.2	JH2	97.938	83.333	False	True	False	True	False	False
ERR346596	ERR346596.12421	VHSM7.a3.93	JH2	84.536	92.857	True	False	True	False	False	False
ERR346596	ERR346596.12420	J558.h	JH4	83.505	93.750	True	False	True	False	False	False
ERR346596	ERR346596.12602	VHS107.a3.106	JH1	48.515	100.000	True	False	True	False	False	False
ERR346596	ERR346596.12776	J606.1.79,VH22.1,VHJ606.a3.124#	JH2	18.085	80.000	True	True	True	True	False	False
ERR346596	ERR346596.12875	J558.32	JH4	54.639	100.000	True	False	True	False	False	False
ERR346596	ERR346596.12901	VHQ52.a17.46	JH2	80.000	100.000	True	False	True	False	False	False
ERR346596	ERR346596.12922	VHQ52.a27.79	JH3	81.250	100.000	True	False	True	False	False	False
ERR346596	ERR346596.13009	J558.17	JH3	34.118	100.000	True	False	True	False	False	False
ERR346596	ERR346596.12923	VHQ52.a27.79	JH1	97.917	66.667	False	True	False	True	False	False
ERR346596	ERR346596.13067	VHQ52.a27.79	JH1	80.412	100.000	True	False	True	False	False	False
ERR346596	ERR346596.13351	J558.35	JH2	84.375	100.000	True	False	True	False	False	False
ERR346596	ERR346596.13585	VHSM7.a3.93	JH2	82.474	100.000	True	False	True	False	False	False
ERR346596	ERR346596.13692	J558.50	JH3	82.653	100.000	True	False	True	False	False	False
ERR346596	ERR346596.13760	VH7183.a4.6,VHD6.96	JH4	41.237	100.000	True	False	True	False	False	False
ERR346596	ERR346596.14133	VHQ52.a27.79,VOx-1	JH4	49.474	92.857	True	False	True	False	False	False
ERR346596	ERR346596.14157	J558.l	JH4	65.979	87.500	True	False	True	False	False	False
ERR346596	ERR346596.14239	VH7183.a31psi.53		55.556		True	False	True	False	False	False
ERR346596	ERR346596.14202	J558.5	JH3	6.186	100.000	True	False	True	False	False	False
ERR346596	ERR346596.14302	J558.5	JH4	93.814	81.250	False	True	False	True	False	False
ERR346596	ERR346596.14378	J558.34.124	JH1	14.583	93.750	True	False	True	False	False	False
ERR346596	ERR346596.14389	VHQ52.a19.61	JH2	25.263	100.000	True	False	True	False	False	False
ERR346596	ERR346596.14480	J558.15pg.105,J558.21pg.111,J558.25pg.115	JH3	11.458	100.000	True	False	True	False	False	False
ERR346596	ERR346596.14659	J558.46	JH4	80.412	87.500	True	False	True	False	False	False
ERR346596	ERR346596.14765	VHQ52.a15.42	JH4	37.500	100.000	True	False	True	False	False	False
ERR346596	ERR346596.14971	J558.8	JH1	6.250	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15025	V11,VHS107.a3.106	JH1	47.475	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15034	VHSM7.a3.93	JH3	43.750	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15051	VHSM7.a3.93	JH4	100.000	43.750	False	True	False	True	False	False
ERR346596	ERR346596.15109	J558.h	JH4	82.292	93.750	True	False	True	False	False	False
ERR346596	ERR346596.15183	VHS107.a3.106	JH1	48.000	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15284	J558.45	JH4	92.784	82.353	False	True	False	True	False	False
ERR346596	ERR346596.15281	J558.17	JH2	6.316	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15309	J558.50	JH3	82.474	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15315	SM7.1.44,SM7.2.49,VHSM7.a3.93	JH2	80.000	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15345	J558.h	JH4	83.158	92.857	True	False	True	False	False	False
ERR346596	ERR346596.15584	VH7183.9,VH7183.a15.24	JH1	96.939	46.667	False	True	False	True	False	False
ERR346596	ERR346596.15601	VHSM7.a3.93	JH3	10.417	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15687	VH7183.7b	JH4	7.143	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15710	V11,VHS107.a3.106	JH2	45.545	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15738	VHQ52.a22.67	JH2	78.125	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15655	J558.46	JH3	47.917	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15761	J558.15	JH3	50.000	91.667	True	False	True	False	False	False
ERR346596	ERR346596.15962	VH7183.a4.6,VHD6.96	JH4	30.928	100.000	True	False	True	False	False	False
ERR346596	ERR346596.15946	J558.h	JH4	81.915	93.750	True	False	True	False	False	False
ERR346596	ERR346596.16222	J558.50	JH3	80.612	100.000	True	False	True	False	False	False
ERR346596	ERR346596.16291	J558.5	JH4	91.837	81.250	False	True	False	True	False	False
ERR346596	ERR346596.16383	H13-3		58.333		True	False	True	False	False	False
ERR346596	ERR346596.16404	VHQ52.a27.79,VOx-1	JH4	81.053	100.000	True	False	True	False	False	False
ERR346596	ERR346596.16316	J558.2	JH3	90.722	84.615	False	True	False	True	False	False
ERR346596	ERR346596.16417	J558.21pg.111	JH3	3.297	100.000	True	False	True	False	False	False
ERR346596	ERR346596.16418	J558.48,J558.k	JH2,JH3	70.000	100.000	True	False	True	False	False	False
ERR346596	ERR346596.16725	VHA1	JH4	96.907	40.000	False	True	False	True	False	False
ERR346596	ERR346596.16655	J558.17	JH2	51.579	100.000	True	False	True	False	False	False
ERR346596	ERR346596.16870	VHSM7.a3.93	JH2	47.917	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17100	J558.35	JH4	70.103	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17184	J558.50	JH3	84.536	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17512	J558.45	JH4	59.375	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17467	VHQ52.a2.4	JH3	50.000	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17691	J558.29	JH2	57.732	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17813	Q52.3.8,VHQ52.a3.8	JH2	12.632	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17862	J558.50	JH3	84.694	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17941	VH7183.a28.48	JH4	56.122	100.000	True	False	True	False	False	False
ERR346596	ERR346596.17913	VHS107.a3.106	JH1	47.525	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18003	VHSM7.a3.93	JH3	29.167	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18137	J558.50	JH3	83.673	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18166	VHSM7.a3.93	JH2	9.375	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18262	J558.19	JH2	92.784	83.333	False	True	False	True	False	False
ERR346596	ERR346596.18278	VHSM7.a3.93	JH2	51.042	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18259	VH7183.a4.6,VHD6.96	JH4	42.708	85.714	True	False	True	False	False	False
ERR346596	ERR346596.18290	VH36-60.a1.85	JH2	98.969	84.615	False	True	False	True	False	False
ERR346596	ERR346596.18441	J558.29	JH4	54.639	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18362	J558.46	JH4	97.938	40.000	False	True	False	True	False	False
ERR346596	ERR346596.18406	VHSM7.a3.93	JH3	59.375	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18490	J558.h	JH1	53.125	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18639	J558.79.184	JH3	26.042	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18717	J558.17	JH3	43.158	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18774	VHA1	JH2	97.959	14.286	False	True	False	True	False	False
ERR346596	ERR346596.18801	J558.50	JH3	82.653	92.857	True	False	True	False	False	False
ERR346596	ERR346596.18817	VHSM7-13	JH1	63.636	66.667	True	True	True	True	False	False
ERR346596	ERR346596.18842	J558.29	JH4	39.583	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18845	J558.54.148	JH3	94.898	83.333	False	True	False	True	False	False
ERR346596	ERR346596.18979	J558.45	JH4	15.306	100.000	True	False	True	False	False	False
ERR346596	ERR346596.18827	J558.37	JH3	4.124	92.857	True	False	True	False	False	False
ERR346596	ERR346596.18921	J558.50	JH3	22.680	100.000	True	False	True	False	False	False
ERR346596	ERR346596.19206	VH7183.a4.6,VHD6.96	JH4	9.278	92.857	True	False	True	False	False	False
ERR346596	ERR346596.19182	J558.k	JH4	48.958	100.000	True	False	True	False	False	False
ERR346596	ERR346596.19226	J558.k	JH2	89.796	84.615	False	True	False	True	False	False
ERR346596	ERR346596.19420	VHSM7.a3.93	JH3	65.625	100.000	True	False	True	False	False	False
ERR346596	ERR346596.19423	J558.f	JH1	57.732	100.000	True	False	True	False	False	False
ERR346596	ERR346596.19489	VH36-60.a1.85	JH4	43.299	100.000	True	False	True	False	False	False
ERR346596	ERR346596.19578	J558.19	JH2	14.583	100.000	True	False	True	False	False	False
ERR346596	ERR346596.19607	VH7183.a4.6,VHD6.96	JH4	21.649	100.000	True	False	True	False	False	False
ERR346596	ERR346596.19790	H13-3	JH3	92.857	73.333	False	True	False	True	False	False
ERR346596	ERR346596.19799	J558.l	JH3	93.878	53.846	False	True	False	True	False	False
ERR346596	ERR346596.19806	VH36-60.a6.114	JH4	94.792	35.714	False	True	False	True	False	False
ERR346596	ERR346596.19742	J558.45	JH3	13.265	100.000	True	False	True	False	False	False
ERR346596	ERR346596.19792	J558.14pg.104		71.429		True	False	True	False	False	False
ERR346596	ERR346596.19883	J558.h	JH2	34.021	100.000	True	False	True	False	False	False
ERR346596	ERR346596.20008	J558.29	JH4	65.957	100.000	True	False	True	False	False	False
ERR346596	ERR346596.20193	J558.5	JH4	88.776	81.250	False	True	False	True	False	False
ERR346596	ERR346596.20262	VHSM7.a3.93	JH3	98.958	38.462	False	True	False	True	False	False
ERR346596	ERR346596.20298	VH61-1P,VH7183.a47.76	JH2	63.918	100.000	True	False	True	False	False	False
ERR346596	ERR346596.20477	VHQ52.a2.4	JH1	89.583	42.857	False	True	False	True	False	False
ERR346596	ERR346596.20531	J558.19	JH2	76.289	100.000	True	False	True	False	False	False
ERR346596	ERR346596.20664	VH36-60.a1.85	JH4	46.875	100.000	True	False	True	False	False	False
ERR346596	ERR346596.20803	J558.8	JH3	84.536	100.000	True	False	True	False	False	False
ERR346596	ERR346596.20939	J558.f	JH1	6.186	100.000	True	False	True	False	False	False
ERR346596	ERR346596.20918	J558.8	JH3	84.536	100.000	True	False	True	False	False	False
ERR346596	ERR346596.21021	VHSM7.a3.93	JH4	59.794	100.000	True	False	True	False	False	False
ERR346596	ERR346596.21013	J558.50	JH3	84.694	100.000	True	False	True	False	False	False
ERR346596	ERR346596.21059	J558.15	JH4	96.939	81.250	False	True	False	True	False	False
ERR346596	ERR346596.21153	VH61-1P,VH7183.a47.76	JH4	82.474	100.000	True	False	True	False	False	False
ERR346596	ERR346596.21211	J558.2	JH3	90.722	78.571	False	True	False	True	False	False
ERR346596	ERR346596.21182	J558.h	JH4	83.505	93.750	True	False	True	False	False	False
ERR346596	ERR346596.21288	VHX24.a1.84	JH3	51.546	100.000	True	False	True	False	False	False
ERR346596	ERR346596.21322	VHQ52.a27.79	JH1	81.250	100.000	True	False	True	False	False	False
